Data de Cancelamento,Nome da Academia,Justificativa do Cancelamento
2024-03-04,Power Girls,Falta de interesse
2024-03-05,Power Girls,Mudança de cidade
2024-03-09,Power Girls,Problemas financeiros
2024-03-10,Power Girls,Falta de interesse
2024-03-11,Power Girls,Problemas financeiros
2024-03-18,Power Girls,Falta de interesse
2024-03-19,Power Girls,Problemas financeiros
2024-03-20,Power Girls,Falta de interesse
2024-03-26,Power Girls,Mudança de cidade
2024-03-26,Power Girls,Falta de interesse
2024-03-26,Power Girls,Falta de interesse
2024-03-28,Power Girls,Mudança de cidade
2024-03-29,Power Girls,Falta de interesse
2024-03-31,Power Girls,Mudança de cidade
2024-03-31,Power Girls,Problemas financeiros
2024-04-01,Power Girls,Problemas financeiros
2024-04-02,Power Girls,Falta de interesse
2024-04-04,Power Girls,Falta de interesse
2024-04-04,Power Girls,Mudança de cidade
2024-04-06,Power Girls,Mudança de cidade
2024-04-16,Power Girls,Mudança de cidade
2024-04-24,Power Girls,Falta de interesse
2024-04-24,Power Girls,Mudança de cidade
2024-04-26,Power Girls,Mudança de cidade
2024-04-27,Power Girls,Falta de interesse
2024-05-01,Power Girls,Mudança de cidade
2024-05-01,Power Girls,Mudança de cidade
2024-05-02,Power Girls,Mudança de cidade
2024-05-04,Power Girls,Mudança de cidade
2024-05-04,Power Girls,Falta de interesse
2024-05-06,Power Girls,Falta de interesse
2024-05-07,Power Girls,Problemas financeiros
2024-05-09,Power Girls,Mudança de cidade
2024-05-09,Power Girls,Falta de interesse
2024-05-10,Power Girls,Falta de interesse
2024-05-18,Power Girls,Falta de interesse
2024-05-20,Power Girls,Falta de interesse
2024-05-25,Power Girls,Problemas financeiros
2024-05-25,Power Girls,Falta de interesse
2024-05-28,Power Girls,Problemas financeiros
2024-05-29,Power Girls,Falta de interesse
2024-05-29,Power Girls,Problemas financeiros
2024-05-31,Power Girls,Problemas financeiros
2024-05-31,Power Girls,Mudança de cidade
2024-06-05,Power Girls,Mudança de cidade
2024-06-06,Power Girls,Falta de interesse
2024-06-11,Power Girls,Problemas financeiros
2024-06-13,Power Girls,Mudança de cidade
2024-06-15,Power Girls,Problemas financeiros
2024-06-16,Power Girls,Falta de interesse
2024-06-19,Power Girls,Mudança de cidade
2024-06-21,Power Girls,Problemas financeiros
2024-06-22,Power Girls,Falta de interesse
2024-06-23,Power Girls,Mudança de cidade
2024-06-24,Power Girls,Falta de interesse
2024-06-25,Power Girls,Falta de interesse
2024-06-28,Power Girls,Falta de interesse
2024-06-28,Power Girls,Problemas financeiros
2024-06-29,Power Girls,Falta de interesse
