Data de Cancelamento,Nome da Academia,Justificativa do Cancelamento
2023-04-05,Fitness Up,Falta de interesse
2023-04-09,Fitness Up,Mudança de cidade
2023-04-12,Fitness Up,Mudança de cidade
2023-04-13,Fitness Up,Falta de interesse
2023-04-18,Fitness Up,Problemas financeiros
2023-04-21,Fitness Up,Falta de interesse
2023-04-21,Fitness Up,Problemas financeiros
2023-04-23,Fitness Up,Mudança de cidade
2023-04-23,Fitness Up,Falta de interesse
2023-04-24,Fitness Up,Falta de interesse
2023-04-28,Fitness Up,Mudança de cidade
2023-04-28,Fitness Up,Problemas financeiros
2023-04-30,Fitness Up,Mudança de cidade
2023-05-03,Fitness Up,Falta de interesse
2023-05-05,Fitness Up,Falta de interesse
2023-05-05,Fitness Up,Problemas financeiros
2023-05-07,Fitness Up,Falta de interesse
2023-05-08,Fitness Up,Problemas financeiros
2023-05-09,Fitness Up,Mudança de cidade
2023-05-12,Fitness Up,Problemas financeiros
2023-05-13,Fitness Up,Mudança de cidade
2023-05-14,Fitness Up,Problemas financeiros
2023-05-16,Fitness Up,Falta de interesse
2023-05-18,Fitness Up,Mudança de cidade
2023-05-19,Fitness Up,Falta de interesse
2023-05-21,Fitness Up,Falta de interesse
2023-05-22,Fitness Up,Falta de interesse
2023-05-23,Fitness Up,Falta de interesse
2023-05-25,Fitness Up,Mudança de cidade
2023-05-26,Fitness Up,Problemas financeiros
2023-05-27,Fitness Up,Problemas financeiros
2023-05-28,Fitness Up,Mudança de cidade
2023-05-28,Fitness Up,Falta de interesse
2023-05-29,Fitness Up,Mudança de cidade
2023-05-29,Fitness Up,Falta de interesse
2023-05-30,Fitness Up,Problemas financeiros
2023-05-31,Fitness Up,Mudança de cidade
2023-06-01,Fitness Up,Mudança de cidade
2023-06-03,Fitness Up,Falta de interesse
2023-06-06,Fitness Up,Mudança de cidade
2023-06-08,Fitness Up,Falta de interesse
2023-06-13,Fitness Up,Problemas financeiros
2023-06-14,Fitness Up,Mudança de cidade
2023-06-15,Fitness Up,Problemas financeiros
2023-06-16,Fitness Up,Problemas financeiros
2023-06-20,Fitness Up,Falta de interesse
2023-06-21,Fitness Up,Problemas financeiros
2023-06-21,Fitness Up,Mudança de cidade
2023-06-24,Fitness Up,Problemas financeiros
2023-06-27,Fitness Up,Mudança de cidade
2023-06-28,Fitness Up,Problemas financeiros
2023-06-30,Fitness Up,Falta de interesse
2023-07-02,Fitness Up,Mudança de cidade
2023-07-02,Fitness Up,Falta de interesse
2023-07-13,Fitness Up,Mudança de cidade
2023-07-13,Fitness Up,Problemas financeiros
2023-07-14,Fitness Up,Falta de interesse
2023-07-14,Fitness Up,Problemas financeiros
2023-07-15,Fitness Up,Problemas financeiros
2023-07-17,Fitness Up,Problemas financeiros
2023-07-18,Fitness Up,Falta de interesse
2023-07-20,Fitness Up,Mudança de cidade
2023-07-22,Fitness Up,Problemas financeiros
2023-07-23,Fitness Up,Problemas financeiros
2023-07-24,Fitness Up,Falta de interesse
2023-07-24,Fitness Up,Mudança de cidade
2023-07-25,Fitness Up,Problemas financeiros
2023-07-25,Fitness Up,Mudança de cidade
2023-07-26,Fitness Up,Problemas financeiros
2023-07-30,Fitness Up,Problemas financeiros
2023-08-01,Fitness Up,Mudança de cidade
2023-08-06,Fitness Up,Falta de interesse
2023-08-08,Fitness Up,Mudança de cidade
2023-08-12,Fitness Up,Mudança de cidade
2023-08-13,Fitness Up,Mudança de cidade
2023-08-13,Fitness Up,Falta de interesse
2023-08-14,Fitness Up,Mudança de cidade
2023-08-23,Fitness Up,Problemas financeiros
2023-08-23,Fitness Up,Problemas financeiros
2023-08-24,Fitness Up,Mudança de cidade
2023-08-24,Fitness Up,Mudança de cidade
2023-08-26,Fitness Up,Problemas financeiros
2023-08-30,Fitness Up,Mudança de cidade
2023-09-02,Fitness Up,Mudança de cidade
2023-09-02,Fitness Up,Falta de interesse
2023-09-03,Fitness Up,Falta de interesse
2023-09-03,Fitness Up,Problemas financeiros
2023-09-07,Fitness Up,Mudança de cidade
2023-09-10,Fitness Up,Falta de interesse
2023-09-13,Fitness Up,Problemas financeiros
2023-09-15,Fitness Up,Falta de interesse
2023-09-20,Fitness Up,Falta de interesse
2023-09-22,Fitness Up,Mudança de cidade
2023-09-24,Fitness Up,Mudança de cidade
2023-09-25,Fitness Up,Problemas financeiros
2023-09-28,Fitness Up,Falta de interesse
2023-09-30,Fitness Up,Falta de interesse
2023-10-01,Fitness Up,Problemas financeiros
2023-10-01,Fitness Up,Falta de interesse
2023-10-02,Fitness Up,Mudança de cidade
2023-10-06,Fitness Up,Mudança de cidade
2023-10-07,Fitness Up,Problemas financeiros
2023-10-08,Fitness Up,Mudança de cidade
2023-10-11,Fitness Up,Problemas financeiros
2023-10-12,Fitness Up,Problemas financeiros
2023-10-15,Fitness Up,Mudança de cidade
2023-10-16,Fitness Up,Problemas financeiros
2023-10-18,Fitness Up,Problemas financeiros
2023-10-21,Fitness Up,Problemas financeiros
2023-10-25,Fitness Up,Problemas financeiros
2023-10-27,Fitness Up,Mudança de cidade
2023-10-29,Fitness Up,Problemas financeiros
2023-10-30,Fitness Up,Falta de interesse
2023-10-31,Fitness Up,Mudança de cidade
2023-11-02,Fitness Up,Falta de interesse
2023-11-04,Fitness Up,Falta de interesse
2023-11-04,Fitness Up,Falta de interesse
2023-11-04,Fitness Up,Mudança de cidade
2023-11-05,Fitness Up,Problemas financeiros
2023-11-07,Fitness Up,Falta de interesse
2023-11-07,Fitness Up,Falta de interesse
2023-11-08,Fitness Up,Falta de interesse
2023-11-12,Fitness Up,Problemas financeiros
2023-11-14,Fitness Up,Mudança de cidade
2023-11-16,Fitness Up,Problemas financeiros
2023-11-18,Fitness Up,Problemas financeiros
2023-11-20,Fitness Up,Problemas financeiros
2023-11-22,Fitness Up,Mudança de cidade
2023-11-22,Fitness Up,Mudança de cidade
2023-11-26,Fitness Up,Problemas financeiros
2023-12-01,Fitness Up,Problemas financeiros
2023-12-02,Fitness Up,Mudança de cidade
2023-12-09,Fitness Up,Problemas financeiros
2023-12-11,Fitness Up,Mudança de cidade
2023-12-11,Fitness Up,Problemas financeiros
2023-12-13,Fitness Up,Problemas financeiros
2023-12-15,Fitness Up,Problemas financeiros
2023-12-17,Fitness Up,Problemas financeiros
2023-12-21,Fitness Up,Problemas financeiros
2023-12-24,Fitness Up,Problemas financeiros
2023-12-24,Fitness Up,Falta de interesse
2023-12-25,Fitness Up,Falta de interesse
2023-12-26,Fitness Up,Mudança de cidade
2023-12-28,Fitness Up,Problemas financeiros
2023-12-28,Fitness Up,Mudança de cidade
2024-01-01,Fitness Up,Falta de interesse
2024-01-03,Fitness Up,Mudança de cidade
2024-01-05,Fitness Up,Problemas financeiros
2024-01-06,Fitness Up,Falta de interesse
2024-01-11,Fitness Up,Problemas financeiros
2024-01-11,Fitness Up,Problemas financeiros
2024-01-13,Fitness Up,Mudança de cidade
2024-01-15,Fitness Up,Falta de interesse
2024-01-16,Fitness Up,Falta de interesse
2024-01-18,Fitness Up,Problemas financeiros
2024-01-21,Fitness Up,Falta de interesse
2024-01-25,Fitness Up,Mudança de cidade
2024-01-26,Fitness Up,Mudança de cidade
2024-01-27,Fitness Up,Mudança de cidade
2024-01-28,Fitness Up,Mudança de cidade
2024-01-30,Fitness Up,Problemas financeiros
2024-01-30,Fitness Up,Problemas financeiros
2024-02-01,Fitness Up,Falta de interesse
2024-02-01,Fitness Up,Mudança de cidade
2024-02-02,Fitness Up,Problemas financeiros
2024-02-05,Fitness Up,Falta de interesse
2024-02-07,Fitness Up,Problemas financeiros
2024-02-09,Fitness Up,Falta de interesse
2024-02-13,Fitness Up,Problemas financeiros
2024-02-16,Fitness Up,Problemas financeiros
2024-02-20,Fitness Up,Mudança de cidade
2024-02-21,Fitness Up,Falta de interesse
2024-02-23,Fitness Up,Falta de interesse
2024-02-23,Fitness Up,Falta de interesse
2024-02-24,Fitness Up,Problemas financeiros
2024-02-25,Fitness Up,Problemas financeiros
2024-02-28,Fitness Up,Problemas financeiros
2024-03-06,Fitness Up,Mudança de cidade
2024-03-09,Fitness Up,Mudança de cidade
2024-03-09,Fitness Up,Problemas financeiros
2024-03-11,Fitness Up,Mudança de cidade
2024-03-15,Fitness Up,Mudança de cidade
2024-03-16,Fitness Up,Falta de interesse
2024-03-17,Fitness Up,Problemas financeiros
2024-03-18,Fitness Up,Falta de interesse
2024-03-21,Fitness Up,Problemas financeiros
2024-03-27,Fitness Up,Falta de interesse
2024-03-28,Fitness Up,Mudança de cidade
2024-03-28,Fitness Up,Falta de interesse
2024-03-29,Fitness Up,Mudança de cidade
2024-03-31,Fitness Up,Mudança de cidade
2024-04-02,Fitness Up,Mudança de cidade
2024-04-04,Fitness Up,Problemas financeiros
2024-04-05,Fitness Up,Mudança de cidade
2024-04-06,Fitness Up,Mudança de cidade
2024-04-06,Fitness Up,Falta de interesse
2024-04-08,Fitness Up,Falta de interesse
2024-04-09,Fitness Up,Problemas financeiros
2024-04-10,Fitness Up,Falta de interesse
2024-04-13,Fitness Up,Mudança de cidade
2024-04-14,Fitness Up,Mudança de cidade
2024-04-14,Fitness Up,Falta de interesse
2024-04-15,Fitness Up,Falta de interesse
2024-04-17,Fitness Up,Problemas financeiros
2024-04-18,Fitness Up,Problemas financeiros
2024-04-18,Fitness Up,Problemas financeiros
2024-04-20,Fitness Up,Problemas financeiros
2024-04-24,Fitness Up,Falta de interesse
2024-04-27,Fitness Up,Problemas financeiros
2024-04-29,Fitness Up,Problemas financeiros
2024-04-30,Fitness Up,Falta de interesse
2024-05-01,Fitness Up,Problemas financeiros
2024-05-01,Fitness Up,Falta de interesse
2024-05-04,Fitness Up,Mudança de cidade
2024-05-05,Fitness Up,Falta de interesse
2024-05-06,Fitness Up,Mudança de cidade
2024-05-07,Fitness Up,Mudança de cidade
2024-05-09,Fitness Up,Problemas financeiros
2024-05-10,Fitness Up,Mudança de cidade
2024-05-12,Fitness Up,Mudança de cidade
2024-05-14,Fitness Up,Problemas financeiros
2024-05-16,Fitness Up,Mudança de cidade
2024-05-17,Fitness Up,Problemas financeiros
2024-05-19,Fitness Up,Falta de interesse
2024-05-19,Fitness Up,Mudança de cidade
2024-05-21,Fitness Up,Falta de interesse
2024-05-23,Fitness Up,Problemas financeiros
2024-05-26,Fitness Up,Mudança de cidade
2024-05-27,Fitness Up,Falta de interesse
2024-05-28,Fitness Up,Falta de interesse
2024-05-29,Fitness Up,Falta de interesse
2024-05-31,Fitness Up,Problemas financeiros
2024-06-01,Fitness Up,Mudança de cidade
2024-06-03,Fitness Up,Mudança de cidade
2024-06-04,Fitness Up,Mudança de cidade
2024-06-05,Fitness Up,Problemas financeiros
2024-06-07,Fitness Up,Mudança de cidade
2024-06-07,Fitness Up,Mudança de cidade
2024-06-09,Fitness Up,Mudança de cidade
2024-06-12,Fitness Up,Mudança de cidade
2024-06-13,Fitness Up,Falta de interesse
2024-06-14,Fitness Up,Mudança de cidade
2024-06-14,Fitness Up,Problemas financeiros
2024-06-16,Fitness Up,Mudança de cidade
2024-06-17,Fitness Up,Mudança de cidade
2024-06-18,Fitness Up,Falta de interesse
2024-06-18,Fitness Up,Problemas financeiros
2024-06-20,Fitness Up,Mudança de cidade
2024-06-21,Fitness Up,Mudança de cidade
2024-06-22,Fitness Up,Problemas financeiros
2024-06-26,Fitness Up,Mudança de cidade
2024-06-27,Fitness Up,Falta de interesse
2024-06-30,Fitness Up,Mudança de cidade
