Data de Cancelamento,Nome da Academia,Justificativa do Cancelamento
2023-12-25,Spotters,Mudança de cidade
2023-12-27,Spotters,Falta de interesse
2023-12-29,Spotters,Falta de interesse
2023-12-30,Spotters,Mudança de cidade
2024-01-01,Spotters,Mudança de cidade
2024-01-02,Spotters,Mudança de cidade
2024-01-05,Spotters,Problemas financeiros
2024-01-06,Spotters,Falta de interesse
2024-01-11,Spotters,Falta de interesse
2024-01-23,Spotters,Problemas financeiros
2024-01-24,Spotters,Mudança de cidade
2024-01-28,Spotters,Falta de interesse
2024-02-01,Spotters,Mudança de cidade
2024-02-03,Spotters,Problemas financeiros
2024-02-06,Spotters,Mudança de cidade
2024-02-09,Spotters,Mudança de cidade
2024-02-09,Spotters,Problemas financeiros
2024-02-10,Spotters,Problemas financeiros
2024-02-17,Spotters,Problemas financeiros
2024-02-20,Spotters,Problemas financeiros
2024-02-24,Spotters,Mudança de cidade
2024-02-26,Spotters,Mudança de cidade
2024-02-28,Spotters,Problemas financeiros
2024-03-01,Spotters,Problemas financeiros
2024-03-06,Spotters,Problemas financeiros
2024-03-06,Spotters,Problemas financeiros
2024-03-08,Spotters,Mudança de cidade
2024-03-09,Spotters,Problemas financeiros
2024-03-14,Spotters,Problemas financeiros
2024-03-15,Spotters,Problemas financeiros
2024-03-17,Spotters,Mudança de cidade
2024-03-19,Spotters,Problemas financeiros
2024-03-21,Spotters,Falta de interesse
2024-03-24,Spotters,Mudança de cidade
2024-03-26,Spotters,Problemas financeiros
2024-03-26,Spotters,Mudança de cidade
2024-03-28,Spotters,Falta de interesse
2024-04-06,Spotters,Mudança de cidade
2024-04-09,Spotters,Falta de interesse
2024-04-16,Spotters,Mudança de cidade
2024-04-20,Spotters,Problemas financeiros
2024-04-21,Spotters,Problemas financeiros
2024-04-27,Spotters,Problemas financeiros
2024-04-28,Spotters,Falta de interesse
2024-05-04,Spotters,Mudança de cidade
2024-05-05,Spotters,Falta de interesse
2024-05-08,Spotters,Falta de interesse
2024-05-09,Spotters,Problemas financeiros
2024-05-12,Spotters,Problemas financeiros
2024-05-18,Spotters,Falta de interesse
2024-05-20,Spotters,Falta de interesse
2024-05-22,Spotters,Mudança de cidade
2024-05-24,Spotters,Problemas financeiros
2024-05-27,Spotters,Problemas financeiros
2024-06-02,Spotters,Mudança de cidade
2024-06-05,Spotters,Mudança de cidade
2024-06-10,Spotters,Falta de interesse
2024-06-12,Spotters,Problemas financeiros
2024-06-16,Spotters,Mudança de cidade
2024-06-20,Spotters,Falta de interesse
2024-06-26,Spotters,Problemas financeiros
2024-06-27,Spotters,Mudança de cidade
